CT_MODULE,,,,,,,,,,,,,
_module_id,_unique_name,_name,_academic_year,_deptName,_staff1Name,_staff2Name,_custom1,_custom2,_custom3,_weekly_target,_total_target,_schedulable,_www
5260,LB Academic Writing and Presenting Skills,Academic Writing and Presenting Skills,,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
1565638,LB Actions,LB Actions,MSc,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
964111,LB Advanced statistics,Advanced statistics,,LB Department of Life Sciences (Silwood Park),00860179,,,,,,,Y,
964126,LB Agroecology,Agroecology,,LB Department of Life Sciences (Silwood Park),00159113,,,,,,,Y,
137693,LB Applied GIS: Species distribution modelling,Applied GIS: Species distribution modelling,,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
422211,LB Applying for Ph.D positions,Applying for Ph.D positions,,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
660527,LB Background to Conservation,Background to Conservation,,LB Department of Life Sciences (Silwood Park),00771508,,,,,,,Y,
1051908,LB Behavioural Ecology (MSc),Behavioural Ecology (MSc),MSc,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
964176,LB Biocontrol and Integrated Pest Management,LB Biocontrol and Integrated Pest Management,,LB Department of Life Sciences (Silwood Park),00810706,,,,,,,Y,
964183,LB Biodiversity,Biodiversity,,LB Department of Life Sciences (Silwood Park),00527811,,,,,,,Y,
708637,LB Biogeochemistry,Biogeochemistry,,LB Department of Life Sciences (Silwood Park),00940387,,,,,,,Y,
964801,LB Biological Computing in Python II,Biological Computing in Python II,,LB Department of Life Sciences (Silwood Park),00795175,,,,,,,Y,
124849,LB Biological computing in R,Biological computing in R,,LB Department of Life Sciences (Silwood Park),00926329,,,,,,,Y,
964216,LB Biological Data Structures and C,Biological Data Structures and C,,LB Department of Life Sciences (Silwood Park),00796384,,,,,,,Y,
144718,LB Body size scaling and conservation,Body size scaling and conservation,,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
964220,LB Building Partnerships + Programmes,Building Partnerships + Programmes,,LB Department of Life Sciences (Silwood Park),00771508,,,,,,,Y,
5647,LB Careers Day,Careers Day,,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
137756,LB Categorical data and analysis,Categorical data and analysis,,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
391724,LB Choosing and designing a research project,Choosing and designing a research project,,LB Department of Life Sciences (Silwood Park),,,,,,,,Y,
964228,"LB CMEE Miniproject: Intro, project selection and preliminary work","CMEE Miniproject: Intro, project selection and preliminary work",,LB Department of Life Sciences (Silwood Park),00795175,,,,,,,Y,
