college_dates.name,college_dates.event_startdate,college_dates.event_enddate,college_dates.all_day
First Monday of Autumn Term,2020-10-05,2020-10-06,1
First Monday of Spring Term,2021-01-11,2021-01-12,1
First Monday of Summer Term,2021-05-11,2021-05-12,1
UG Commemoration Day,,,1
Silwood Christmas,2020-12-18,2020-12-19,1
Winter Exam,2021-01-12,2021-01-13,1
Open Day,2021-02-03,2021-02-04,1
Silwood Masters SSC,2021-03-02,2021-03-03,1
Winter project submission (EEC MRes),2021-03-19,2021-03-20,1
Presentations (EEC MRes),2021-03-26,2021-03-27,1
Spring Exam,2021-03-29,2021-03-31,1
Internal vivas (EEC MRes),2021-03-31,2021-04-06,1
Easter Closure,2021-04-01,2021-04-07,1
PG Commemoration Day,,,1
Silwood Masters SSC,2021-05-04,2021-05-05,1
Open Day,2021-07-14,2021-07-15,1
Final project report electronic submission,2021-08-26,2021-08-27,1
FrEEC Symposium (final project presentations),2021-09-07,2021-09-10,1
Internal vivas + External Examiner meetings (Incl Board Meetings),2021-09-13,2021-09-18,1
